ime,id,gorovje,visina,vrsta,priljubljenost,mesto_priljubljenosti,stevilo_poti,opis
Križna gora (Hrušica),1197,"Goriško, Notranjsko in Snežniško hribovje",1162,vrh,61,992,3,"Križna gora je 1162 m visok vrh, ki se nahaja severno od vasi Podkraj. Z vrha na katerem stoji razgledni stolp je lep razgled po večjem delu Slovenije. Ob lepem vremenu lahko tako vidimo del Tržaškega zaliva, Julijce, Karavanke, Kamniško in Savinjske Alpe ter Snežnik. <br>Vrh ima vpisno skrinjico in žig."
Križna gora nad Colom,2363,"Goriško, Notranjsko in Snežniško hribovje",957,vrh,55,1146,2,"Križna gora je 957 m visok vrh, ki se nahaja severno od Cola. Z vrha, ki je na severno stran porasel z gozdom, se nam odpre lep razgled proti vzhodu, jugu in zahodu, kjer lepo vidimo večinoma gozdnate vrhove Hrušice, Nanosa in dela Čavna. Pod nami lepo vidimo Col, še nekoliko bolj proti jugu pa del Vipavske doline."
Krog,1714,"Goriško, Notranjsko in Snežniško hribovje",418,vrh,35,1646,2,"Krog je 418 m visok hrib, ki se nahaja med Vrhom križa in Kukom. Z vrha, ki je rahlo porasel z drevjem, predvsem bora, se nam odpre razgled na Veliko valo in hribovje, ki le to obdaja."
Krokar,1478,"Goriško, Notranjsko in Snežniško hribovje",1122,vrh,59,1024,2,"Krokar je 1122 m visok vrh, ki se nahaja v osrčju istoimenskega pragozda. Z vrha, ki se prepadno spušča proti dolini reke Kolpe, se nam odpre lep razgled na hribovje, ki obdaja zgornji tok reke Kolpe."
Kršičevec,912,"Goriško, Notranjsko in Snežniško hribovje",1091,vrh,72,717,3,"Kršičevec je manj poznana gora, ki se nahaja vzhodno od vasi Jurišče v Pivški kotlini. S travnatega vrha na katerem se nahaja vpisna skrinjica z žigom in le nekoliko nižje še razgledna plošča, se nam odpre lep razgled po večjem delu Slovenije. Ob lepem vremenu lahko tako vidimo Vremščico, italijanske Dolomite, Nanos, Julijske Alpe s Krnom in Triglavom, del Kamniško Savinjskih Alp, Sveto Trojico, Javornike, Snežnik, Učko in Slavnik."
Kucelj na Čavnu,501,"Goriško, Notranjsko in Snežniško hribovje",1237,vrh,91,223,12,Kucelj se nahaja na Južnih obronkih Trnovskega gozda severozahodno od Vipavske doline. Z neporaščenega vrha na katerem stoji križ je zelo lep razgled na Primorsko in morje v ozadju. Na drugi strani se vidi Trnovski gozd in nad njim del Julijskih Alp. Vrh je prostran in ima vpisno skrinjico.
Kuk,1715,"Goriško, Notranjsko in Snežniško hribovje",498,vrh,60,1020,3,"Kuk (na nekaterih zemljevidih tudi Ščukovec) je 498 m visok hrib, ki se nahaja severno od vasi Movraž. Z vrha, na katerem stoji manjši križ, se nam odpre lep razgled na Kraški rob in okoliško hribovje. Vrh ima vpisno skrinjico, žiga pa ni."
Kuk (Kolovrat),1771,"Goriško, Notranjsko in Snežniško hribovje",1243,vrh,83,435,3,"Kuk je s 1243 m najvišji vrh Kolovrata, pogorja ki se nahaja od Livka do Kambreškega. Z vrha, na katerem je več oddajnikov, se nam odpre lep razgled na Beneško Slovenijo, Matajur, Kanin, Krnsko pogorje, Trnovski gozd in Kolovrat."
Kuk nad Paljevim,2486,"Goriško, Notranjsko in Snežniško hribovje",612,"vrh, bivak",16,2118,3,"Kuk je z gozdom poraščen vrh, ki se dviga vzhodno od reke Soče, točneje nad naseljema Plave in Paljevo. Nekoliko severno do severozahodno od vrha, pa se nahaja prijetno travnato razgledišče in vzletišče, od koder je lep pogled proti reki Soči in hribom nad njo. Ob vzletišču se nahaja manjše zasilno zavetišče."
Kuren (Sveti Miklavž),1669,"Goriško, Notranjsko in Snežniško hribovje",526,"koča, cerkev",39,1547,1,"Kuren je turistična kmetija, ki se nahaja sredi manjšega zaselka nad Staro Vrhniko. Le nekaj metrov stran od turistične kmetije, pa se nahaja manjša cerkvica posvečena sv. Miklavžu, od katere se nam odpre lep razgled na del Ljubljanskega barja in okoliškega hribovja."
Kurešček,136,"Goriško, Notranjsko in Snežniško hribovje",826,"vrh, cerkev",90,256,5,"Kurešček je 826 m visok vrh, ki se nahaja južno od Iga in jugozahodno od Želimelj. Z vrha, na katerem stoji cerkev, zaradi bližnjega gozda ni razgleda. Kurešček je zadnja leta vse bolj priljubljen romarski cilj vernikov, saj cerkev, ki je posvečena sv. Mariji (Kraljici miru) obiskujejo verniki s celotne Slovenije in tudi tujine."
Lačna,1705,"Goriško, Notranjsko in Snežniško hribovje",451,vrh,69,780,5,"Lačna je 451 m visok hrib, ki se nahaja med Gračiščem, Kubedom in Hrastovljami. Vrh na katerem se nahaja kovinski razgledni stolp, s katerega se nam odpre lep razgled po bližnji in daljni okolici, ima vpisno skrinjico ter nekaj manjših lesenih klopi. "
Lašček,1984,"Goriško, Notranjsko in Snežniško hribovje",1071,vrh,66,871,4,"Lašček je s 1071 m najvišji vrh Banjške planote, planote, ki se dviga nad Čepovanskim dolom, dolino reke Soče in dolino reke Idrijce. Z vrha, na katerem je razgledna plošča ter pod njo vpisna skrinjica z vpisno knjigo in žigom, se nam odpre lep razgled proti Trnovskemu gozdu, Matajurju, Krnskem pogorju, Poreznu, Triglavu, ob lepem vremenu pa razgled seže vse do italijanskih Dolomitov"
Lešenjak,1422,"Goriško, Notranjsko in Snežniško hribovje",552,vrh,33,1681,1,"Lešenjak je z višino 552 m, med najvišjimi vrhovi v grebenu Črnih hribov. V bližini vrha, ki ima vpisno skrinjico so številni rovi in kaverne iz časa 1. svetovne vojne."
Leskovica (nad Stražiščem),2752,"Goriško, Notranjsko in Snežniško hribovje",947,vrh,7,2360,2,"Leskovica je 947 metrov visok vrh, ki se nahaja nad Kožljekom in Stražiščem. Z vrha, preko katerega vodi visokonapetostni daljnovod Beričevo - Divača, se nam odpre lep razgled proti Slivnici, Snežniku, Javornikom, Nanosu, ob lepem vremenu pa razgled seže vse do Alp."
Lipnik,1690,"Goriško, Notranjsko in Snežniško hribovje",804,vrh,65,877,1,"Lipnik je 804 m visok vrh, ki se nahaja nad vasjo Rakitovec ob slovensko hrvaški meji. Z vrha, na katerem stoji križ in ob njem vpisna skrinjica, se nam odpre lep razgled proti Istri, Tržaškemu zalivu, ob lepem vremenu pa razgled seže vse do Dolomitov v sosednji Italiji."
Ljubljanski vrh,1471,"Goriško, Notranjsko in Snežniško hribovje",819,vrh,63,924,1,"Ljubljanski vrh je 819 m visok hrib, ki se nahaja južno od Vrhnike. Na vrhu ima vojska postavljeno radarsko opazovalnico, zato vzpon na sam vrh ni mogoč."
Lopar,2944,"Goriško, Notranjsko in Snežniško hribovje",303,"vrh, cerkev",2,2475,1,"Lopar je naselje v mestni občini Koper, ki se nahaja na slemenu nad gornjim delom doline Rokave. V vasi se nahaja cerkev sv. Jerufa, Hiša od Bardinca, Hiša od čuda, Kulturni dom Lopar. Z razglednega dela naselja se nam odpre lep pogled proti morju in okoliškim hribom."
Loška stena,2555,"Goriško, Notranjsko in Snežniško hribovje",875,vrh,20,2029,5,"Loška stena se nahaja nad Zgornjo Kolpsko dolino, točneje nad vasmi Grintovec pri Osilnici, Ložec in Ribjek. Z vrha Loške stene oz. prepadnega razgledišča se nam odpre lep razgled proti dolini Kolpe, okoliškemu hribovju in Gorskemu Kotarju."
Lovska koča na Planinski gori,799,"Goriško, Notranjsko in Snežniško hribovje",879,koča,63,947,4,Lovska koča na Planinski gori se nahaja med Grmado (873m) in Petričevim hribom (937m). Do koče pred katero je veliko parkirišče pripelje makadamska cesta iz Lohače (vas v bližini Planine).
Lovska koča Plehanov laz,2507,"Goriško, Notranjsko in Snežniško hribovje",625,koča,14,2167,1,"Lovska koča Plehanov laz se nahaja pod vrhom Linte (778 m), le ta pa zahodno od ceste Preserje - Rakitna. Koča oz. dom je v lasti LD Rakitna."
Lovska koča Trešnja ravan,2460,"Goriško, Notranjsko in Snežniško hribovje",818,,15,2154,1,"Lovska koča Trešnja ravan se nahaja ob markirani poti Postojna - Sveta Trojica. Ob koči se nahaja večja jasa, balinišče in piknik prostor."
Lovska koča Urška,1129,"Goriško, Notranjsko in Snežniško hribovje",908,,37,1594,1,Lovska koča Urška se nahaja vzhodno od Racne gore na obrobju Uršjega laza. Pred kočo se nahaja skrinjica z vpisno knjigo in žigom. 
Lovska koča Vojkovo,1411,"Goriško, Notranjsko in Snežniško hribovje",775,koča,52,1203,5,"Lovska koča Vojkovo se nahaja vzhodno od Podnanosa, na robu prostrane nanoške planote. Od lovske koče oz. bližnje okolice se nam odpre lep razgled na del Vipavske doline in hribovje, ki le to obdaja."
Lovski dom pod Glavico,1155,"Goriško, Notranjsko in Snežniško hribovje",610,"sedlo, koča",37,1604,2,"Lovski dom se nahaja na prevalu med Glavico (646m) in Barbarco (719m) na skrajnem severnem delu Čičarije. Od doma pa se nam ob lepem vremenu odpre lep razgled predvsem proti zahodu, kjer lahko vidimo del slovenskega primorja."
Lovsko zavetišče Kolombar,2910,"Goriško, Notranjsko in Snežniško hribovje",218,koča,4,2433,2,"Lovsko zavetišče Kolombar se nahaja južno od vasice Kolombar, pod 242 metrov visokim vrhom Strzar. Zavetišče upravlja lovska družina Dekani."
Lovsko zavetišče pod Čavnom,1211,"Goriško, Notranjsko in Snežniško hribovje",980,"vrh, bivak",47,1338,1,"Lovsko zavetišče se nahaja na razgledni vzpetini stranskega grebena Čavna. Od zavetišča, ki služi kot zasilni bivak je lep razgled na Vipavsko dolino, Trstelj, Tržaški zaliv in Dolomite."
Mala gora,730,"Goriško, Notranjsko in Snežniško hribovje",1034,"vrh, koča",83,437,4,"Mala gora je planota na pobočju Čavna. Na višini 1034 metrov je postavljena koča. Mala gora je znana po cvetju, ki je značilno samo za to območje. S planote se vidi Vipavska dolina, goriška ter ob lepem vremenu Jadransko morje."
Mala Plešivica,1162,"Goriško, Notranjsko in Snežniško hribovje",953,vrh,47,1331,2,"Mala Plešivica, ki je višja od sosednje Velike Plešivice je razgleden vrh, ki se nahaja zahodno od vasi Golac ob meji s Hrvaško. Z vrha se nam tako ob lepem vremenu odpre lep razgled, ki seže vse od bližnje Medvižice in Razsušice prek Istre do daljnih Dolomitov, Julijskih in Kamniško Savinjskih Alp do Snežnika."
Mali Golak,511,"Goriško, Notranjsko in Snežniško hribovje",1495,vrh,96,99,5,"Mali Golak je najvišji od Golakov. Imena ni dobil zato, ker naj bi bil najmanjši ampak, ker je imel najmanjšo planino. Na zemljevidih je prišlo do napake in namesto Malega Golaka piše Veliki Golak. Sicer pa je z vrha lep razgled na vso Slovenijo. Lepo se vidi Triglav in velik del Julijskih Alp. Tudi Karavanke in Kamniške Alpe se vidijo. Pod nami pa Primorska s svojim morjem. Vrh ima vpisno knjigo in žig."
Mali Javornik (Javorniki),1607,"Goriško, Notranjsko in Snežniško hribovje",1219,vrh,59,1047,2,"Mali Javornik je 1219 m visoka gora, ki se nahaja v grebenu gozdnatega grebena Javornikov. S samega vrha zaradi gozda ni razgleda, je pa malo pod vrhom večji travnik, s katerega se nam odpre pogled proti Snežniku, in Sveti Trojici."
Mali Modrasovec,502,"Goriško, Notranjsko in Snežniško hribovje",1305,vrh,64,907,2,"Mali Modrasovec je vrh severno od doma na Čavnu v Trnovskem gozdu. Na vrhu, ki je obdan z gozdom stoji manjša hiška in zraven nje kontrolni stolp. Zaradi gozda ni razgleda."
Mali Snežnik,556,"Goriško, Notranjsko in Snežniško hribovje",1694,vrh,79,519,3,"Mali Snežnik je vrh na zahodnem grebenu Snežnika. Vrh, ki je poraščen z rušjem ima lep razgled na sosednji Veliki Snežnik in okoliško hribovje."
Mali Trebelnik,1290,"Goriško, Notranjsko in Snežniško hribovje",807,vrh,36,1620,2,"Mali Trebelnik je 807 m visoka vzpetina, ki se dviga nad jugozahodnim delom Ljubljanskega barja. Z vrha, ki je deloma travnat, deloma pa ga obdaja gozd se nam odpre razgled na okoliško hribovje, z vzletišča jadralnih padalcev, le to se nahaja nekoliko pod vrhom, pa še na del Ljubljanskega barja."
Marezige,2912,"Goriško, Notranjsko in Snežniško hribovje",284,"vrh, koča, cerkev",6,2365,2,"Marezige se nahajajo na razglednem hribu nad Vanganelsko dolino. Z razgledišča nasproti Gostilne Karjola, se nam odpre lep razgled na Koprski zaliv, ob dobri vidljivosti pa razglede seže vse do Alp. V bližini razgledne točke se nahaja še cerkev Sv. Križa in ekološka kmetija Plahuta."
Marija Snežna na Gradišcah,2916,"Goriško, Notranjsko in Snežniško hribovje",467,"vrh, cerkev",4,2435,2,"Vzpetina Gradišca (na zemljevidih Gradišče), na kateri stoji romarska cerkev Marije Snežne, se nahaja med Črnotičami in Prapročami. Ob cerkvi se nahaja tudi vpisna skrinjica z vpisno knjigo."
Marutnik,2604,"Goriško, Notranjsko in Snežniško hribovje",892,vrh,10,2267,2,"Marutnik je 892 metrov visok vrh, ki se nahaja vzhodno do severovzhodno od Idrije, v bližini naselja Gore. Na vrhu stoji trigonometrična točka, v bližini nje pa še manjša klopca, nekoliko nižje pa še obeležje NOB. Vrh je poraščen, se nam pa z bližnjega travnika odpre lep pogled na Škofjeloško hribovje, ob lepi vidljivosti pa razgled seže vse do Alp."
Medvedje Brdo,1466,"Goriško, Notranjsko in Snežniško hribovje",814,"vrh, cerkev",74,654,6,"Medvedje Brdo je manjše naselje, ki se nahaja severno od Hotedršice. Najvišja točka vasi je prijetna razgledna točka, ki se nahaja na Šinkovcovem griču (814 m). Z vrha, se nam odpre lep razgled po večjem delu zahodne in osrednje Slovenije. Le malo pod vrhom, pa se nahaja cerkev sv. Katarine in center šolskih in obšolskih dejavnosti, dom Medved."
Medvižica,1153,"Goriško, Notranjsko in Snežniško hribovje",1081,vrh,48,1318,2,"Medvižica je skalnat vrh, ki se nahaja na slovenski strani Čičarije. Z neporaščenega vrha je lep razgled po okoliškem hribovju, kjer najlepše vidimo bližnjo Razsušico."
Mengore,1756,"Goriško, Notranjsko in Snežniško hribovje",453,"vrh, cerkev",75,626,2,"Mengore (453 m) se dvigajo med Mostom na Soči, Volčami in Tolminom. Z vrha, na katerem stoji cerkev sv. Marije in ob njej zavetišče sv. Jožefa, se nam odpre lep razgled na Kolovrat in okoliške vasi. Na vrhu je vpisna skrinjica z vpisno knjigo in žigom."
Milanka,1225,"Goriško, Notranjsko in Snežniško hribovje",948,vrh,35,1632,1,"Milanka je 948m visok vrh, ki se nahaja zahodno od Volovje rebri. Ker je vrh deloma poraščen, se nam z njega odpre razgled le proti jugu in zahodu, kjer lahko vidimo okoliško hribovje in kraška polja."
Mišnice,2622,"Goriško, Notranjsko in Snežniško hribovje",961,vrh,15,2147,2,"Mišnice so manj znan vrh, ki se nahaja med Krimom in Rakitno. Z večinoma poraščenega vrha se nam odpre nekaj razgleda skozi krošnje dreves, sicer pa vrh ne nudi lepšega razgleda."
Mokrc,1462,"Goriško, Notranjsko in Snežniško hribovje",1059,vrh,62,956,1,"Mokrc na zemljevidih Mokrec je 1059 m visoka gora, ki se nahaja vzhodno od Iškega Vintgarja. Vrh je poraščen z gozdom in zato z njega ni razgleda. <br>Za nekaj razgleda, se je vredno povzpeti na nekaj minut oddaljeno staro vojaško obrambno ploščat, s katere se nam med krošnjami dreves odpre pogled na Krim in na nekaj okoliških vrhov."
Mrzovec,551,"Goriško, Notranjsko in Snežniško hribovje",1410,vrh,77,585,4,"Mrzovec je najizrazitejši vrh v osrčju Trnovske planote. Njegova lega omogoča čudovit razgled, vendar ga z vrha zastira visoko drevje. Na vrhu je zgrajen kamnit stolp (trigonometrična točka), a je visok le dobrih pet metrov. Ker pa iz nje nimamo širšega razgleda si lahko podoben razgled mozaično zagotovimo tudi z roba planotastega vrha, saj je na več krajih vegetacija deloma pretrgana. Kot na dlani imamo okoli sebe celoten Trnovski gozd, predvsem vasi Lokve in Nemci. Ob jasnem vremenu je lep razgled tudi širši, do Jadranskega morja na jugu, Julijskih Alp na severu, na zahodni strani se rišeta Sabotin in Banjšice, na vzhodu pa notranjost Slovenije."
Na gradu,1767,"Goriško, Notranjsko in Snežniško hribovje",1115,vrh,47,1341,2,"Na gradu je 1115 m visok vrh, ki se nahaja sredi pogorja Kolovrata, točneje na meji med Slovenijo in Italijo. S travnatega vrha, na katerem je vpisna skrinjica z vpisno knjigo in žigom, se nam odpre lep razgled na Matajur, Krnsko pogorje, greben Kolovrata, Idrijsko in Cerkljansko hribovje ter Trnovski gozd.<br>Nekoliko pod vrhom, pa se nahaja muzej na prostem, kjer lahko vidimo številne kaverne, bunkerje in podobno."
Nadglavinjak,1692,"Goriško, Notranjsko in Snežniško hribovje",888,vrh,32,1718,1,"Nadglavinjak je manj znan vrh, ki se nahaja jugovzhodno od Goliča. Z neizrazitega in travnatega vrha, se nam odpre lep pogled na Slavnik, Čičarijo, Žbevnico, Kavčič, Lipnik ter Tržaški zaliv."
Nagnoj,1770,"Goriško, Notranjsko in Snežniško hribovje",1193,vrh,53,1191,2,"Nagnoj je s 1193 m drugo najvišji vrh Kolovrata, pogorja ki se nahaja med Tolminom in Beneško Slovenijo. Z vrha, na katerem je vpisna skrinjica in v njej vpisna knjiga in žig, se nam odpre lep pogled na Beneško Slovenijo, Matajur, Kanin, Krnsko pogorje in Kolovrat."
Navrše,814,"Goriško, Notranjsko in Snežniško hribovje",857,vrh,54,1151,3,"Navrše je malo poznan vrh, ki se nahaja jugovzhodno od Otliškega okna. Z vrha je lep pogled na Vipavsko dolino in vrhove, ki obdajajo dolino."
Novaška gora,1224,"Goriško, Notranjsko in Snežniško hribovje",998,vrh,44,1421,1,"Novaška gora je z gozdom poraščen vrh, ki se nahaja zahodno od Rakitne."
Očna,1764,"Goriško, Notranjsko in Snežniško hribovje",906,vrh,39,1548,2,"Očna je 906 m visok vrh, ki se nahaja v pogorju Kolovrata, le ta pa zahodno od Tolmina. S travnika nekaj metrov stran od vrha, se nam odpre lep razgled na Julijske Alpe, Tolmin in Trnovski gozd."
Orlovo gnezdo (Veli Badin),1719,"Goriško, Notranjsko in Snežniško hribovje",359,vrh,76,601,2,"Orlovo gnezdo je razgledna točka z vpisno skrinjico nad spodmoli Velega Badina. Z razgledne točke, se nam odre lep razgled po delu Istre, najlepši pa je pogled na stene Velega Badina.<br>Pod orlovim gnezdom, se nahajajo tudi trije večji spodmoli, ki v višino merijo do 17 m, dostop do njih pa je v času gnezdenja ptic prepovedan! <br>V bližini spodmolov, pa najdemo še naravni most, ki meri v loku 6 m, v višino pa do 4 m."
